date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2025-08-08,Netherlands,1,2026,For Sittard,Go Ahead Eagles,2.7,3.6,2.55,1.74,2.1,2.66,3.44,2.5,1.71,2.05,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,36.0,6.0,8.0,2.0,8.0,5.0,2.0,2.0,0.0,1.0
2025-08-09,Netherlands,1,2026,Feyenoord,NAC Breda,1.18,8.5,15.0,1.43,3.1,1.16,7.56,13.94,1.39,2.82,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,20.0,7.0,4.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
2025-08-09,Netherlands,1,2026,Heerenveen,Volendam,1.6,4.2,5.6,1.71,2.14,1.57,4.03,5.4,1.68,2.08,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,18.0,5.0,6.0,3.0,9.0,2.0,1.0,1.0,0.0,0.0
2025-08-09,Netherlands,1,2026,Nijmegen,Excelsior,1.8,4.0,4.5,1.82,2.08,1.75,3.73,4.39,1.76,1.98,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,15.0,9.0,10.0,6.0,7.0,2.0,1.0,1.0,0.0,0.0
2025-08-09,Netherlands,1,2026,PSV Eindhoven,Sparta Rotterdam,1.21,7.5,14.0,1.4,3.1,1.18,6.99,12.69,1.37,2.88,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,22.0,8.0,12.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0
2025-08-10,Netherlands,1,2026,AZ Alkmaar,Groningen,1.53,4.5,6.25,1.73,2.12,1.5,4.32,5.91,1.69,2.07,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,10.0,11.0,5.0,8.0,6.0,1.0,2.0,2.0,0.0,0.0
2025-08-10,Netherlands,1,2026,Ajax,Telstar,1.17,8.5,17.0,1.35,3.4,1.15,7.78,15.16,1.33,3.15,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,15.0,18.0,7.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0
2025-08-10,Netherlands,1,2026,Utrecht,Heracles,1.57,4.5,5.8,1.67,2.25,1.52,4.3,5.55,1.64,2.15,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,19.0,10.0,7.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0
2025-08-10,Netherlands,1,2026,Zwolle,Twente,4.0,3.7,1.95,1.77,2.12,3.73,3.57,1.92,1.72,2.03,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7.0,16.0,2.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0
2025-08-15,Netherlands,1,2026,Telstar,Zwolle,2.7,3.5,2.7,1.77,2.1,2.61,3.4,2.55,1.73,2.02,0.0,0.0,0.0,2.0,0.7,2.9200000000000004,0.0,0.0,0.0,2.0,0.7,2.9200000000000004,3.0,3.0,1.0,0.0,1.46,0.5700000000000001,3.0,3.0,1.0,0.0,1.46,0.5700000000000001,0.0,2.0,11.0,10.0,5.0,3.0,7.0,0.0,3.0,3.0,0.0,0.0
