date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2024-08-09,Netherlands,1,2025,Groningen,NAC Breda,1.64,4.25,5.7,1.68,2.38,1.61,4.06,5.33,1.62,2.27,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,17.0,7.0,9.0,3.0,8.0,1.0,1.0,3.0,0.0,1.0
2024-08-10,Netherlands,1,2025,Almere City,AZ Alkmaar,5.75,4.4,1.63,1.75,2.22,5.37,4.18,1.58,1.69,2.13,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7.0,6.0,2.0,3.0,2.0,8.0,1.0,2.0,2.0,1.0
2024-08-10,Netherlands,1,2025,Feyenoord,Willem II,1.14,11.0,22.0,1.41,3.17,1.12,9.35,18.53,1.37,2.98,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,21.0,2.0,7.0,1.0,14.0,3.0,1.0,4.0,0.0,0.0
2024-08-10,Netherlands,1,2025,Nijmegen,Twente,3.8,3.84,2.02,1.76,2.27,3.63,3.66,1.97,1.68,2.15,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,12.0,15.0,2.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0
2024-08-10,Netherlands,1,2025,PSV Eindhoven,Waalwijk,1.12,13.0,27.0,1.31,3.95,1.09,10.89,21.72,1.26,3.68,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,19.0,8.0,12.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0
2024-08-11,Netherlands,1,2025,Ajax,Heerenveen,1.51,5.2,6.5,1.43,3.07,1.46,4.83,5.99,1.4,2.85,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12.0,7.0,4.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0
2024-08-11,Netherlands,1,2025,Go Ahead Eagles,For Sittard,2.04,3.65,3.9,1.9,2.05,2.0,3.52,3.65,1.84,1.96,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,18.0,13.0,4.0,4.0,6.0,3.0,1.0,1.0,0.0,0.0
2024-08-11,Netherlands,1,2025,Sparta Rotterdam,Heracles,1.53,4.75,6.3,1.57,2.57,1.5,4.58,5.88,1.52,2.48,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,10.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0
2024-08-11,Netherlands,1,2025,Utrecht,Zwolle,1.47,5.0,7.0,1.62,2.45,1.44,4.72,6.51,1.57,2.37,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9.0,5.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0
2024-08-16,Netherlands,1,2025,For Sittard,Almere City,1.83,3.8,4.62,2.04,1.92,1.79,3.67,4.44,1.94,1.86,3.0,3.0,2.0,0.0,2.5599999999999996,0.5900000000000001,3.0,3.0,2.0,0.0,2.5599999999999996,0.5900000000000001,0.0,1.0,0.0,1.0,2.31,2.54,0.0,1.0,0.0,1.0,2.31,2.54,3.0,0.0,20.0,8.0,9.0,4.0,9.0,3.0,2.0,3.0,0.0,0.0
