date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2025-08-02,Scotland,4,2026,Annan Athletic,Elgin,2.65,3.5,2.5,1.9,1.9,2.59,3.29,2.4,1.84,1.83,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,9.0,8.0,6.0,4.0,7.0,4.0,2.0,3.0,0.0,0.0
2025-08-02,Scotland,4,2026,Dumbarton,Clyde,2.38,3.7,2.7,1.73,2.1,2.31,3.42,2.61,1.7,2.02,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,6.0,11.0,2.0,3.0,11.0,3.0,2.0,3.0,0.0,0.0
2025-08-02,Scotland,4,2026,East Kilbride,Spartans,1.73,3.9,4.4,1.63,2.25,1.67,3.71,4.2,1.6,2.18,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,10.0,2.0,5.0,5.0,6.0,3.0,1.0,0.0,1.0
2025-08-02,Scotland,4,2026,Edinburgh City,Stirling,2.16,3.55,3.2,1.91,1.9,2.11,3.33,3.02,1.84,1.84,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,11.0,9.0,5.0,6.0,2.0,7.0,3.0,4.0,0.0,0.0
2025-08-02,Scotland,4,2026,Forfar,Stranraer,1.63,3.8,5.5,2.08,1.73,1.59,3.56,5.1,2.02,1.7,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18.0,2.0,5.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0
2025-08-09,Scotland,4,2026,Clyde,Forfar,2.41,3.15,3.0,2.2,1.67,2.34,3.07,2.82,2.1,1.63,0.0,0.0,1.0,2.0,1.54,2.45,0.0,0.0,1.0,2.0,1.54,2.45,3.0,3.0,1.0,0.0,1.84,1.09,3.0,3.0,1.0,0.0,1.84,1.09,0.0,0.0,11.0,2.0,6.0,0.0,8.0,5.0,1.0,3.0,0.0,0.0
2025-08-09,Scotland,4,2026,Elgin,East Kilbride,3.6,3.75,1.99,1.6,2.3,3.27,3.59,1.92,1.56,2.23,0.0,0.0,2.0,3.0,2.67,3.89,0.0,0.0,2.0,3.0,2.67,3.89,0.0,0.0,1.0,3.0,1.44,4.709999999999999,0.0,0.0,1.0,3.0,1.44,4.709999999999999,0.0,1.0,9.0,7.0,3.0,1.0,6.0,10.0,7.0,3.0,0.0,0.0
2025-08-09,Scotland,4,2026,Spartans,Dumbarton,1.98,3.45,3.65,1.98,1.83,1.93,3.32,3.46,1.92,1.77,3.0,3.0,3.0,1.0,4.709999999999999,1.44,3.0,3.0,3.0,1.0,4.709999999999999,1.44,3.0,3.0,2.0,1.0,2.45,1.54,3.0,3.0,2.0,1.0,2.45,1.54,1.0,2.0,8.0,7.0,4.0,3.0,1.0,9.0,1.0,3.0,0.0,1.0
2025-08-09,Scotland,4,2026,Stirling,Annan Athletic,2.17,3.5,3.1,1.93,1.88,2.12,3.3,3.02,1.86,1.82,3.0,3.0,2.0,1.0,2.99,1.77,3.0,3.0,2.0,1.0,2.99,1.77,3.0,3.0,3.0,2.0,3.89,2.67,3.0,3.0,3.0,2.0,3.89,2.67,0.0,0.0,10.0,8.0,2.0,4.0,4.0,5.0,2.0,3.0,0.0,0.0
2025-08-09,Scotland,4,2026,Stranraer,Edinburgh City,2.8,3.35,2.42,2.05,1.76,2.7,3.21,2.34,1.97,1.72,0.0,0.0,0.0,1.0,1.09,1.84,0.0,0.0,0.0,1.0,1.09,1.84,0.0,0.0,1.0,2.0,1.77,2.99,0.0,0.0,1.0,2.0,1.77,2.99,1.0,2.0,1.0,9.0,1.0,3.0,2.0,4.0,3.0,4.0,0.0,0.0
